"","dia","s1","s4","s6","s7","s9","s15","s2","s3","s5","s8","s10","s11","s12","s13","s14"
"1",2018-01-02,0.305509142058565,-0.182092832370206,0.199915854705469,-0.26423535914814,0.0795264044099337,0.532934957863158,0.082962609634101,0.532934957863158,-0.26423535914814,-0.400932628661767,-0.0460552881913201,-0.500092755182785,0.497093634496047,0.573208002850955,-0.222755966825929
"2",2018-01-03,0.362129181340496,-0.384603257453126,-0.258432659709732,-0.0800923650923751,0.571102748580591,-0.351483125338656,-0.290265232610364,-0.351483125338656,-0.0800923650923751,0.342398724654152,0.460668990180144,0.156603600082926,0.484096227938599,0.0215033259599695,-0.177580388003703
"3",2018-01-04,0.225713786850521,0.191719213261114,-0.484879619260496,-0.549384779238131,0.145388347537955,0.614460708931573,0.249719416065769,0.614460708931573,-0.549384779238131,0.273366682425414,-0.0827588409148031,-0.380602640321349,0.341185276386697,-0.103239262660663,-0.355368730685393
"4",2018-01-05,-0.0637764445274051,-0.512520903124638,-0.704190725775039,-0.0809629949820028,0.23597039772239,0.119097862185119,0.725562016455106,0.119097862185119,-0.0809629949820028,-0.438281122818578,0.0955321194656377,-0.268508262723368,0.296363234632487,-1.10226328848026,-0.0374990246896856
"5",2018-01-06,-0.109336124311671,0.153670434768132,-0.167580919040922,-0.415039873118056,-0.282459671570233,0.0285786567834068,-0.2591671019142,0.0285786567834068,-0.415039873118056,0.232131381152073,-0.00786596699324923,-0.388852415163225,0.907154956176162,-1.11824715939129,-0.369188200784585
"6",2018-01-07,-0.183652638776663,-0.315075748541812,0.256908616667227,-0.255225329706929,-0.365878695489524,-0.336629397804328,0.464657296797128,-0.336629397804328,-0.255225329706929,0.659747255224445,0.0563372770942887,-0.258269928635431,1.98862799931713,-1.3996080013523,0.0385580244573531
"7",2018-01-08,0.296863943412527,0.119523302137836,-0.0249023730274219,-0.549759854667607,-0.178800290606123,-0.285992332517934,-0.488283749065167,-0.285992332517934,-0.549759854667607,-0.105580469537617,0.148569569731137,0.317359724126576,2.77906712974782,-1.7129201928521,-0.0475649752330737
"8",2018-01-09,-0.190834126440128,-0.266792823758486,-0.380651709950765,-0.380012394585072,-0.138180676767794,0.183529255205441,0.601266641138706,0.183529255205441,-0.380012394585072,0.12450252952592,-0.330220603961157,-0.199532342857943,2.9780239976228,-2.1210045324798,-0.165399851195036
"9",2018-01-10,0.0643566790266947,-0.202255034320233,0.836978624062327,-0.155380984066833,-0.269495689372834,-0.137902351613915,-0.177833986140593,-0.137902351613915,-0.155380984066833,0.194091570362976,0.18712431907933,-0.248909579369384,3.31859826542626,-1.93538885468536,-0.692453522251913
"10",2018-01-11,0.293533049589708,0.602183380657791,0.117399589144231,0.243851689780475,-0.581940119579726,0.719541145490026,0.776888777981649,0.719541145490026,0.243851689780475,0.265987124733488,0.4694912307315,-0.11465789420385,3.92749325467616,-2.02133207997766,-0.773250101066719
"11",2018-01-12,0.113554374672332,0.380716691850802,1.01935314601775,-0.0982606684985454,-0.49369277574138,-0.0504960783681619,-0.756473502654663,-0.0504960783681619,-0.0982606684985454,-0.0946796297187713,-0.290239410806019,0.174160306926995,3.74347239014,-2.51018965561737,-1.43696567250202
"12",2018-01-13,0.0590578557992893,-0.614503621990394,0.290992363165772,-0.43352473420289,-0.289980569834214,0.0249504207036502,0.30668574572332,0.0249504207036502,-0.43352473420289,0.549884219324671,-0.205100593758881,0.980888561872257,3.81909608232713,-2.56133615355596,-1.50356688860333
"13",2018-01-14,-0.132766785482865,-0.111676964517879,-0.193504407317294,0.512268375534454,0.0470642693983448,-0.387348858095825,-0.472852962841104,-0.387348858095825,0.512268375534454,0.112256084412115,0.961877919987799,0.596004715086072,4.44156378723765,-2.30836240117959,-2.00262860830461
"14",2018-01-15,-0.368715335324609,-0.358120850371546,-0.198999856287681,0.884015318358117,-0.201473439037311,-0.0887931685010554,0.163220536820637,-0.0887931685010554,0.884015318358117,-0.267335663448706,0.112990796536003,0.471905880597286,4.72310154926805,-2.13099662494323,-2.52860743823911
"15",2018-01-16,-0.087512184437558,-0.446360235725504,-0.705748780944877,0.437403684362375,0.0574306609469198,0.0727983471664285,-0.375975748444179,0.0727983471664285,0.437403684362375,0.302490507787165,-0.452288178266434,0.814001527460932,5.60861585811418,-1.40391373006713,-2.86638210801551
"16",2018-01-17,-0.270772501568534,0.0193223949119405,0.369773253584079,-0.731149310925096,-0.344793084425197,-0.202184937034741,-0.133727336073281,-0.202184937034741,-0.731149310925096,0.528226880799642,0.522127065633188,0.341195625482718,6.74189200694036,-1.24436441076087,-3.12287876639661
"17",2018-01-18,0.0440898366164654,0.0705093834309733,0.537543980764713,0.26815048972969,-0.383914829294866,0.260623457131684,0.135703575106277,0.260623457131684,0.26815048972969,-0.105878812050898,-0.0805461789614662,0.0936123167016051,7.09393244880498,-1.30909534527843,-3.31865802472279
"18",2018-01-19,0.00996893895008099,-0.011278084819378,-0.258647966807781,-0.216806995920473,-0.136560578346339,-0.239171323590144,-0.393037618214149,-0.239171323590144,-0.216806995920473,-1.2105624202289,0.485285002951567,0.651734198512767,7.4628493645412,-1.64887933411903,-3.66063072478424
